Accident Report,Primary Cause,Secondary Cause,Risk Factor
"On 31 Jan 2024, at 04:54 AM, a bus collided with a car at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 11 Jan 2024, at 06:15 PM, a car collided with a car at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. Jumping red lights or ignoring stop signs",Road Conditions,Signal Violation,Moderate
"On 24 Jan 2024, at 07:47 PM, a truck collided with a two-wheeler at NH66 near Trivandrum. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 29 Feb 2024, at 11:45 AM, a car collided with a two-wheeler at NH66 near Trivandrum. DUI-related accident. Heavy rain, fog, or slippery roads",Drunk Driving,Weather Issues,Moderate
"On 01 Mar 2024, at 07:43 AM, a truck collided with a truck at NH66 near Trivandrum. Potholes, construction work, or lack of signs. Jaywalking or crossing in unsafe zones",Road Conditions,Pedestrian Negligence,Moderate
"On 20 Jan 2024, at 10:14 AM, a truck collided with a bus at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. Jumping red lights or ignoring stop signs",Signal Violation,Signal Violation,Moderate
"On 03 Jan 2024, at 03:19 AM, a truck collided with a car at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. DUI-related accident",Signal Violation,Drunk Driving,Moderate
"On 03 Feb 2024, at 01:41 AM, a truck collided with a auto-rickshaw at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. Over speeding and reckless maneuvering",Helmet Violation,Rash Driving,Moderate
"On 03 Jan 2024, at 09:19 AM, a truck collided with a truck at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. Over speeding and reckless maneuvering",Pedestrian Negligence,Rash Driving,High
"On 01 Jan 2024, at 12:14 PM, a truck collided with a car at MG Road, Bangalore. DUI-related accident. ",Drunk Driving,None,Moderate
"On 15 Feb 2024, at 08:19 AM, a bus collided with a truck at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 23 Feb 2024, at 07:54 PM, a bus collided with a two-wheeler at NH66 near Trivandrum. Potholes, construction work, or lack of signs. Jaywalking or crossing in unsafe zones",Road Conditions,Pedestrian Negligence,Moderate
"On 05 Feb 2024, at 01:37 AM, a auto-rickshaw collided with a truck at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. Jaywalking or crossing in unsafe zones",Helmet Violation,Pedestrian Negligence,High
"On 08 Feb 2024, at 09:08 AM, a bus collided with a truck at NH66 near Trivandrum. DUI-related accident. ",Drunk Driving,None,Moderate
"On 24 Feb 2024, at 05:24 PM, a car collided with a car at NH66 near Trivandrum. DUI-related accident. ",Drunk Driving,None,Moderate
"On 30 Jan 2024, at 06:41 PM, a car collided with a car at MG Road, Bangalore. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 11 Jan 2024, at 04:40 AM, a auto-rickshaw collided with a bus at NH66 near Trivandrum. Car passengers not wearing seatbelts. Jumping red lights or ignoring stop signs",Seatbelt Violation,Signal Violation,High
"On 02 Jan 2024, at 01:51 PM, a car collided with a car at MG Road, Bangalore. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 02 Feb 2024, at 06:46 PM, a auto-rickshaw collided with a two-wheeler at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 01 Jan 2024, at 04:14 AM, a truck collided with a auto-rickshaw at Outer Ring Road, Hyderabad. DUI-related accident. Potholes, construction work, or lack of signs",Drunk Driving,Road Conditions,Moderate
"On 08 Feb 2024, at 06:56 AM, a truck collided with a two-wheeler at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. Heavy rain, fog, or slippery roads",Signal Violation,Weather Issues,High
"On 26 Jan 2024, at 05:10 PM, a two-wheeler collided with a truck at MG Road, Bangalore. Jumping red lights or ignoring stop signs. Jumping red lights or ignoring stop signs",Signal Violation,Signal Violation,Moderate
"On 23 Feb 2024, at 10:20 PM, a auto-rickshaw collided with a auto-rickshaw at MG Road, Bangalore. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 01 Mar 2024, at 06:11 PM, a bus collided with a truck at Outer Ring Road, Hyderabad. DUI-related accident. ",Drunk Driving,None,Moderate
"On 15 Feb 2024, at 09:04 AM, a bus collided with a car at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 23 Feb 2024, at 04:25 PM, a bus collided with a two-wheeler at MG Road, Bangalore. Potholes, construction work, or lack of signs. ",Road Conditions,None,High
"On 01 Jan 2024, at 05:34 PM, a bus collided with a two-wheeler at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 23 Jan 2024, at 08:20 PM, a bus collided with a truck at Outer Ring Road, Hyderabad. DUI-related accident. Car passengers not wearing seatbelts",Drunk Driving,Seatbelt Violation,Moderate
"On 09 Jan 2024, at 02:01 PM, a car collided with a auto-rickshaw at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. Car passengers not wearing seatbelts",Signal Violation,Seatbelt Violation,Moderate
"On 05 Jan 2024, at 04:59 AM, a truck collided with a two-wheeler at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,High
"On 03 Feb 2024, at 11:34 AM, a bus collided with a auto-rickshaw at NH66 near Trivandrum. DUI-related accident. Heavy rain, fog, or slippery roads",Drunk Driving,Weather Issues,High
"On 15 Feb 2024, at 01:12 PM, a auto-rickshaw collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. Two-wheeler rider not wearing a helmet",Road Conditions,Helmet Violation,Moderate
"On 01 Jan 2024, at 11:44 PM, a two-wheeler collided with a bus at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. Over speeding and reckless maneuvering",Weather Issues,Rash Driving,Moderate
"On 30 Jan 2024, at 03:38 AM, a bus collided with a two-wheeler at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. Over speeding and reckless maneuvering",Pedestrian Negligence,Rash Driving,High
"On 12 Jan 2024, at 05:51 AM, a two-wheeler collided with a bus at Marine Drive, Mumbai. DUI-related accident. ",Drunk Driving,None,High
"On 27 Jan 2024, at 07:26 AM, a truck collided with a bus at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. DUI-related accident",Weather Issues,Drunk Driving,Moderate
"On 03 Jan 2024, at 09:37 PM, a car collided with a car at MG Road, Bangalore. Over speeding and reckless maneuvering. Jaywalking or crossing in unsafe zones",Rash Driving,Pedestrian Negligence,Moderate
"On 13 Jan 2024, at 09:02 PM, a car collided with a two-wheeler at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 18 Jan 2024, at 07:17 AM, a two-wheeler collided with a truck at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. DUI-related accident",Helmet Violation,Drunk Driving,Moderate
"On 20 Feb 2024, at 06:00 AM, a two-wheeler collided with a car at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. DUI-related accident",Road Conditions,Drunk Driving,Moderate
"On 23 Jan 2024, at 04:48 PM, a auto-rickshaw collided with a auto-rickshaw at MG Road, Bangalore. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 20 Jan 2024, at 02:13 PM, a auto-rickshaw collided with a two-wheeler at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 20 Jan 2024, at 05:03 AM, a two-wheeler collided with a car at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 08 Jan 2024, at 10:07 AM, a auto-rickshaw collided with a truck at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,High
"On 09 Jan 2024, at 07:55 AM, a two-wheeler collided with a car at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 26 Feb 2024, at 12:40 PM, a bus collided with a two-wheeler at MG Road, Bangalore. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 18 Feb 2024, at 04:59 AM, a two-wheeler collided with a two-wheeler at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 28 Jan 2024, at 07:37 AM, a truck collided with a bus at Marine Drive, Mumbai. DUI-related accident. Jumping red lights or ignoring stop signs",Drunk Driving,Signal Violation,High
"On 15 Feb 2024, at 06:51 PM, a auto-rickshaw collided with a bus at MG Road, Bangalore. Potholes, construction work, or lack of signs. Two-wheeler rider not wearing a helmet",Road Conditions,Helmet Violation,Moderate
"On 08 Jan 2024, at 04:21 AM, a two-wheeler collided with a car at NH66 near Trivandrum. Potholes, construction work, or lack of signs. Two-wheeler rider not wearing a helmet",Road Conditions,Helmet Violation,Moderate
"On 01 Feb 2024, at 04:13 PM, a auto-rickshaw collided with a car at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. Heavy rain, fog, or slippery roads",Road Conditions,Weather Issues,Moderate
"On 05 Jan 2024, at 08:07 PM, a car collided with a two-wheeler at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. Heavy rain, fog, or slippery roads",Road Conditions,Weather Issues,Moderate
"On 24 Feb 2024, at 03:19 PM, a two-wheeler collided with a bus at MG Road, Bangalore. Heavy rain, fog, or slippery roads. ",Weather Issues,None,High
"On 21 Feb 2024, at 09:16 AM, a car collided with a two-wheeler at MG Road, Bangalore. Jaywalking or crossing in unsafe zones. Jaywalking or crossing in unsafe zones",Pedestrian Negligence,Pedestrian Negligence,Moderate
"On 31 Jan 2024, at 02:26 AM, a two-wheeler collided with a car at MG Road, Bangalore. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 25 Jan 2024, at 04:09 PM, a bus collided with a truck at MG Road, Bangalore. Heavy rain, fog, or slippery roads. Over speeding and reckless maneuvering",Weather Issues,Rash Driving,Moderate
"On 04 Jan 2024, at 02:14 PM, a car collided with a truck at Marine Drive, Mumbai. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 23 Feb 2024, at 02:31 PM, a bus collided with a two-wheeler at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. Two-wheeler rider not wearing a helmet",Weather Issues,Helmet Violation,High
"On 22 Jan 2024, at 03:39 PM, a car collided with a two-wheeler at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. Car passengers not wearing seatbelts",Weather Issues,Seatbelt Violation,Moderate
"On 20 Jan 2024, at 12:49 PM, a car collided with a car at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 14 Jan 2024, at 05:23 PM, a car collided with a bus at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 27 Jan 2024, at 11:16 AM, a two-wheeler collided with a auto-rickshaw at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 02 Jan 2024, at 04:24 AM, a truck collided with a two-wheeler at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,High
"On 23 Jan 2024, at 05:59 AM, a bus collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. Car passengers not wearing seatbelts",Road Conditions,Seatbelt Violation,High
"On 13 Feb 2024, at 09:11 PM, a two-wheeler collided with a truck at Marine Drive, Mumbai. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 10 Jan 2024, at 11:40 PM, a truck collided with a auto-rickshaw at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. Jumping red lights or ignoring stop signs",Helmet Violation,Signal Violation,Moderate
"On 12 Feb 2024, at 05:26 PM, a bus collided with a car at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. Car passengers not wearing seatbelts",Helmet Violation,Seatbelt Violation,Moderate
"On 06 Jan 2024, at 02:56 AM, a truck collided with a auto-rickshaw at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. ",Pedestrian Negligence,None,Moderate
"On 07 Feb 2024, at 12:09 AM, a bus collided with a truck at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. Jumping red lights or ignoring stop signs",Helmet Violation,Signal Violation,Moderate
"On 12 Feb 2024, at 08:29 AM, a auto-rickshaw collided with a truck at Outer Ring Road, Hyderabad. DUI-related accident. Over speeding and reckless maneuvering",Drunk Driving,Rash Driving,Moderate
"On 13 Jan 2024, at 06:05 PM, a two-wheeler collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. Heavy rain, fog, or slippery roads",Helmet Violation,Weather Issues,High
"On 20 Feb 2024, at 05:17 PM, a truck collided with a two-wheeler at Marine Drive, Mumbai. Jaywalking or crossing in unsafe zones. DUI-related accident",Pedestrian Negligence,Drunk Driving,Moderate
"On 12 Jan 2024, at 09:44 AM, a car collided with a truck at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. ",Road Conditions,None,Moderate
"On 22 Feb 2024, at 09:01 AM, a car collided with a car at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 16 Feb 2024, at 06:36 AM, a auto-rickshaw collided with a bus at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 14 Jan 2024, at 03:51 PM, a auto-rickshaw collided with a auto-rickshaw at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. Jaywalking or crossing in unsafe zones",Road Conditions,Pedestrian Negligence,Moderate
"On 27 Jan 2024, at 09:30 PM, a bus collided with a car at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 09 Jan 2024, at 05:41 PM, a two-wheeler collided with a car at NH66 near Trivandrum. Over speeding and reckless maneuvering. Over speeding and reckless maneuvering",Rash Driving,Rash Driving,Moderate
"On 10 Feb 2024, at 01:04 PM, a truck collided with a car at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. Car passengers not wearing seatbelts",Road Conditions,Seatbelt Violation,Moderate
"On 06 Jan 2024, at 02:18 PM, a auto-rickshaw collided with a two-wheeler at MG Road, Bangalore. DUI-related accident. ",Drunk Driving,None,High
"On 11 Jan 2024, at 12:32 AM, a bus collided with a truck at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 25 Feb 2024, at 08:50 AM, a car collided with a bus at MG Road, Bangalore. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 05 Feb 2024, at 04:49 PM, a car collided with a two-wheeler at Marine Drive, Mumbai. DUI-related accident. ",Drunk Driving,None,Moderate
"On 01 Feb 2024, at 11:10 AM, a two-wheeler collided with a auto-rickshaw at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. Heavy rain, fog, or slippery roads",Signal Violation,Weather Issues,Moderate
"On 14 Jan 2024, at 02:40 AM, a two-wheeler collided with a car at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 21 Jan 2024, at 12:36 PM, a car collided with a auto-rickshaw at MG Road, Bangalore. Car passengers not wearing seatbelts. Two-wheeler rider not wearing a helmet",Seatbelt Violation,Helmet Violation,High
"On 12 Jan 2024, at 08:13 AM, a truck collided with a two-wheeler at NH66 near Trivandrum. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 25 Jan 2024, at 08:20 PM, a truck collided with a bus at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. Potholes, construction work, or lack of signs",Signal Violation,Road Conditions,Moderate
"On 26 Jan 2024, at 05:31 AM, a car collided with a truck at MG Road, Bangalore. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 19 Jan 2024, at 03:00 AM, a two-wheeler collided with a two-wheeler at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 27 Jan 2024, at 11:27 AM, a two-wheeler collided with a car at MG Road, Bangalore. Potholes, construction work, or lack of signs. Heavy rain, fog, or slippery roads",Road Conditions,Weather Issues,High
"On 26 Feb 2024, at 01:53 AM, a truck collided with a two-wheeler at Marine Drive, Mumbai. DUI-related accident. ",Drunk Driving,None,High
"On 18 Jan 2024, at 03:40 PM, a auto-rickshaw collided with a truck at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. Potholes, construction work, or lack of signs",Helmet Violation,Road Conditions,High
"On 14 Jan 2024, at 12:30 AM, a two-wheeler collided with a bus at Marine Drive, Mumbai. DUI-related accident. ",Drunk Driving,None,Moderate
"On 03 Feb 2024, at 05:25 PM, a auto-rickshaw collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 10 Jan 2024, at 10:00 PM, a auto-rickshaw collided with a bus at MG Road, Bangalore. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 04 Jan 2024, at 07:19 AM, a bus collided with a truck at NH66 near Trivandrum. Car passengers not wearing seatbelts. Jaywalking or crossing in unsafe zones",Seatbelt Violation,Pedestrian Negligence,Moderate
"On 02 Jan 2024, at 12:47 AM, a two-wheeler collided with a car at MG Road, Bangalore. DUI-related accident. ",Drunk Driving,None,High
"On 08 Feb 2024, at 05:11 AM, a auto-rickshaw collided with a bus at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 08 Jan 2024, at 07:10 PM, a car collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Car passengers not wearing seatbelts. Heavy rain, fog, or slippery roads",Seatbelt Violation,Weather Issues,Moderate
"On 15 Jan 2024, at 04:13 AM, a auto-rickshaw collided with a two-wheeler at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. Over speeding and reckless maneuvering",Signal Violation,Rash Driving,Moderate
"On 16 Jan 2024, at 07:11 PM, a two-wheeler collided with a auto-rickshaw at Marine Drive, Mumbai. Car passengers not wearing seatbelts. Heavy rain, fog, or slippery roads",Seatbelt Violation,Weather Issues,High
"On 17 Jan 2024, at 12:04 PM, a auto-rickshaw collided with a bus at NH66 near Trivandrum. Car passengers not wearing seatbelts. Over speeding and reckless maneuvering",Seatbelt Violation,Rash Driving,Moderate
"On 12 Feb 2024, at 02:16 AM, a truck collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Potholes, construction work, or lack of signs. Heavy rain, fog, or slippery roads",Road Conditions,Weather Issues,Moderate
"On 02 Jan 2024, at 02:44 PM, a two-wheeler collided with a car at MG Road, Bangalore. DUI-related accident. ",Drunk Driving,None,Moderate
"On 28 Feb 2024, at 01:47 AM, a auto-rickshaw collided with a truck at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. ",Rash Driving,None,High
"On 26 Feb 2024, at 05:03 AM, a truck collided with a auto-rickshaw at MG Road, Bangalore. Potholes, construction work, or lack of signs. Jumping red lights or ignoring stop signs",Road Conditions,Signal Violation,Moderate
"On 01 Feb 2024, at 07:05 PM, a truck collided with a two-wheeler at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. ",Signal Violation,None,Moderate
"On 27 Feb 2024, at 04:55 PM, a auto-rickshaw collided with a car at MG Road, Bangalore. Potholes, construction work, or lack of signs. Two-wheeler rider not wearing a helmet",Road Conditions,Helmet Violation,Moderate
"On 05 Feb 2024, at 03:34 PM, a car collided with a car at NH66 near Trivandrum. Over speeding and reckless maneuvering. Heavy rain, fog, or slippery roads",Rash Driving,Weather Issues,High
"On 04 Jan 2024, at 04:19 AM, a two-wheeler collided with a auto-rickshaw at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. ",Signal Violation,None,High
"On 14 Feb 2024, at 02:32 AM, a bus collided with a car at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. ",Helmet Violation,None,Moderate
"On 01 Jan 2024, at 08:39 AM, a two-wheeler collided with a truck at Marine Drive, Mumbai. Over speeding and reckless maneuvering. Heavy rain, fog, or slippery roads",Rash Driving,Weather Issues,Moderate
"On 19 Jan 2024, at 01:03 AM, a truck collided with a auto-rickshaw at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. Over speeding and reckless maneuvering",Weather Issues,Rash Driving,Moderate
"On 09 Feb 2024, at 02:10 AM, a truck collided with a bus at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. Two-wheeler rider not wearing a helmet",Road Conditions,Helmet Violation,Moderate
"On 26 Feb 2024, at 11:49 AM, a bus collided with a car at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. Jaywalking or crossing in unsafe zones",Signal Violation,Pedestrian Negligence,Moderate
"On 08 Feb 2024, at 09:55 PM, a auto-rickshaw collided with a car at MG Road, Bangalore. Potholes, construction work, or lack of signs. Car passengers not wearing seatbelts",Road Conditions,Seatbelt Violation,Moderate
"On 05 Feb 2024, at 05:33 AM, a car collided with a auto-rickshaw at MG Road, Bangalore. Over speeding and reckless maneuvering. Jumping red lights or ignoring stop signs",Rash Driving,Signal Violation,Moderate
"On 18 Feb 2024, at 04:15 AM, a truck collided with a car at Outer Ring Road, Hyderabad. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 30 Jan 2024, at 11:32 AM, a two-wheeler collided with a truck at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 21 Jan 2024, at 02:27 PM, a auto-rickshaw collided with a auto-rickshaw at Marine Drive, Mumbai. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 10 Feb 2024, at 03:35 PM, a auto-rickshaw collided with a bus at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. Jaywalking or crossing in unsafe zones",Helmet Violation,Pedestrian Negligence,Moderate
"On 31 Jan 2024, at 11:25 AM, a truck collided with a two-wheeler at Marine Drive, Mumbai. Potholes, construction work, or lack of signs. Jumping red lights or ignoring stop signs",Road Conditions,Signal Violation,Moderate
"On 02 Jan 2024, at 08:13 AM, a truck collided with a two-wheeler at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. DUI-related accident",Signal Violation,Drunk Driving,Moderate
"On 16 Jan 2024, at 09:54 AM, a car collided with a auto-rickshaw at NH66 near Trivandrum. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 20 Feb 2024, at 08:22 PM, a auto-rickshaw collided with a two-wheeler at Marine Drive, Mumbai. Two-wheeler rider not wearing a helmet. Potholes, construction work, or lack of signs",Helmet Violation,Road Conditions,Moderate
"On 24 Feb 2024, at 01:25 AM, a car collided with a two-wheeler at Marine Drive, Mumbai. Jumping red lights or ignoring stop signs. Potholes, construction work, or lack of signs",Signal Violation,Road Conditions,Moderate
"On 24 Jan 2024, at 03:53 PM, a car collided with a bus at NH66 near Trivandrum. Potholes, construction work, or lack of signs. Over speeding and reckless maneuvering",Road Conditions,Rash Driving,Moderate
"On 04 Feb 2024, at 10:54 PM, a car collided with a two-wheeler at Marine Drive, Mumbai. DUI-related accident. ",Drunk Driving,None,Moderate
"On 09 Jan 2024, at 09:06 PM, a bus collided with a car at NH66 near Trivandrum. Jaywalking or crossing in unsafe zones. Potholes, construction work, or lack of signs",Pedestrian Negligence,Road Conditions,Moderate
"On 25 Jan 2024, at 09:06 AM, a car collided with a auto-rickshaw at NH66 near Trivandrum. Two-wheeler rider not wearing a helmet. Over speeding and reckless maneuvering",Helmet Violation,Rash Driving,High
"On 04 Feb 2024, at 12:33 PM, a auto-rickshaw collided with a truck at MG Road, Bangalore. Car passengers not wearing seatbelts. Over speeding and reckless maneuvering",Seatbelt Violation,Rash Driving,High
"On 05 Feb 2024, at 11:47 AM, a car collided with a car at Outer Ring Road, Hyderabad. Two-wheeler rider not wearing a helmet. Heavy rain, fog, or slippery roads",Helmet Violation,Weather Issues,Moderate
"On 02 Jan 2024, at 07:05 AM, a auto-rickshaw collided with a auto-rickshaw at MG Road, Bangalore. Heavy rain, fog, or slippery roads. Jaywalking or crossing in unsafe zones",Weather Issues,Pedestrian Negligence,Moderate
"On 19 Feb 2024, at 11:31 AM, a bus collided with a car at Marine Drive, Mumbai. Over speeding and reckless maneuvering. Jaywalking or crossing in unsafe zones",Rash Driving,Pedestrian Negligence,Moderate
"On 25 Feb 2024, at 09:35 AM, a car collided with a two-wheeler at MG Road, Bangalore. DUI-related accident. ",Drunk Driving,None,Moderate
"On 22 Feb 2024, at 02:19 PM, a bus collided with a auto-rickshaw at NH66 near Trivandrum. Car passengers not wearing seatbelts. Potholes, construction work, or lack of signs",Seatbelt Violation,Road Conditions,Moderate
"On 12 Jan 2024, at 07:22 AM, a bus collided with a two-wheeler at Outer Ring Road, Hyderabad. Over speeding and reckless maneuvering. DUI-related accident",Rash Driving,Drunk Driving,Moderate
"On 24 Feb 2024, at 01:22 PM, a bus collided with a auto-rickshaw at Outer Ring Road, Hyderabad. Jumping red lights or ignoring stop signs. Jumping red lights or ignoring stop signs",Signal Violation,Signal Violation,Moderate
"On 25 Feb 2024, at 05:55 PM, a two-wheeler collided with a car at MG Road, Bangalore. Car passengers not wearing seatbelts. Jumping red lights or ignoring stop signs",Seatbelt Violation,Signal Violation,Moderate
"On 20 Jan 2024, at 06:27 AM, a bus collided with a bus at MG Road, Bangalore. DUI-related accident. Heavy rain, fog, or slippery roads",Drunk Driving,Weather Issues,Moderate
"On 04 Jan 2024, at 09:35 AM, a truck collided with a car at Marine Drive, Mumbai. DUI-related accident. Two-wheeler rider not wearing a helmet",Drunk Driving,Helmet Violation,Moderate
"On 18 Feb 2024, at 11:57 PM, a auto-rickshaw collided with a bus at NH66 near Trivandrum. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 09 Feb 2024, at 12:03 PM, a auto-rickshaw collided with a car at Marine Drive, Mumbai. DUI-related accident. ",Drunk Driving,None,High
"On 16 Feb 2024, at 04:33 AM, a truck collided with a truck at MG Road, Bangalore. Heavy rain, fog, or slippery roads. ",Weather Issues,None,Moderate
"On 02 Feb 2024, at 04:37 AM, a car collided with a bus at NH66 near Trivandrum. Over speeding and reckless maneuvering. Potholes, construction work, or lack of signs",Rash Driving,Road Conditions,Moderate
"On 18 Jan 2024, at 05:56 PM, a auto-rickshaw collided with a auto-rickshaw at MG Road, Bangalore. Jumping red lights or ignoring stop signs. Car passengers not wearing seatbelts",Signal Violation,Seatbelt Violation,High
"On 22 Jan 2024, at 10:45 AM, a truck collided with a two-wheeler at Marine Drive, Mumbai. Over speeding and reckless maneuvering. ",Rash Driving,None,Moderate
"On 11 Jan 2024, at 03:41 PM, a auto-rickshaw collided with a two-wheeler at NH66 near Trivandrum. Potholes, construction work, or lack of signs. DUI-related accident",Road Conditions,Drunk Driving,High
"On 19 Jan 2024, at 10:45 PM, a two-wheeler collided with a auto-rickshaw at MG Road, Bangalore. Potholes, construction work, or lack of signs. Jaywalking or crossing in unsafe zones",Road Conditions,Pedestrian Negligence,Moderate
"On 16 Jan 2024, at 12:19 AM, a bus collided with a car at MG Road, Bangalore. Over speeding and reckless maneuvering. DUI-related accident",Rash Driving,Drunk Driving,Moderate
"On 13 Jan 2024, at 03:04 AM, a auto-rickshaw collided with a bus at NH66 near Trivandrum. DUI-related accident. Two-wheeler rider not wearing a helmet",Drunk Driving,Helmet Violation,Moderate
"On 02 Feb 2024, at 02:30 AM, a auto-rickshaw collided with a bus at Marine Drive, Mumbai. Car passengers not wearing seatbelts. ",Seatbelt Violation,None,Moderate
"On 12 Feb 2024, at 05:04 PM, a truck collided with a car at Marine Drive, Mumbai. DUI-related accident. ",Drunk Driving,None,Moderate
"On 07 Feb 2024, at 06:14 PM, a bus collided with a truck at Outer Ring Road, Hyderabad. Jaywalking or crossing in unsafe zones. Heavy rain, fog, or slippery roads",Pedestrian Negligence,Weather Issues,High
